x;mlx;mpx;klx;kpx
0;100000;1;100000;1
1;99552;0,99552;99645;0,99645
2;99529;0,99529;99621;0,99621
3;99510;0,9951;99606;0,99606
4;99494;0,99494;99597;0,99597
5;99481;0,99481;99589;0,99589
6;99469;0,99469;99581;0,99581
7;99459;0,99459;99573;0,99573
8;99449;0,99449;99565;0,99565
9;99439;0,99439;99558;0,99558
10;99429;0,99429;99552;0,99552
11;99418;0,99418;99546;0,99546
12;99407;0,99407;99539;0,99539
13;99395;0,99395;99531;0,99531
14;99380;0,9938;99521;0,99521
15;99362;0,99362;99510;0,9951
16;99337;0,99337;99496;0,99496
17;99301;0,99301;99479;0,99479
18;99254;0,99254;99458;0,99458
19;99195;0,99195;99436;0,99436
20;99124;0,99124;99414;0,99414
21;99044;0,99044;99393;0,99393
22;98958;0,98958;99373;0,99373
23;98869;0,98869;99352;0,99352
24;98778;0,98778;99329;0,99329
25;98685;0,98685;99306;0,99306
26;98591;0,98591;99281;0,99281
27;98494;0,98494;99256;0,99256
28;98393;0,98393;99230;0,9923
29;98289;0,98289;99203;0,99203
30;98179;0,98179;99173;0,99173
31;98064;0,98064;99141;0,99141
32;97941;0,97941;99107;0,99107
33;97810;0,9781;99068;0,99068
34;97670;0,9767;99027;0,99027
35;97521;0,97521;98982;0,98982
36;97361;0,97361;98932;0,98932
37;97190;0,9719;98878;0,98878
38;97006;0,97006;98818;0,98818
39;96806;0,96806;98752;0,98752
40;96589;0,96589;98679;0,98679
41;96351;0,96351;98597;0,98597
42;96089;0,96089;98506;0,98506
43;95800;0,958;98405;0,98405
44;95481;0,95481;98291;0,98291
45;95128;0,95128;98163;0,98163
46;94738;0,94738;98020;0,9802
47;94309;0,94309;97862;0,97862
48;93836;0,93836;97685;0,97685
49;93318;0,93318;97488;0,97488
50;92749;0,92749;97270;0,9727
51;92126;0,92126;97028;0,97028
52;91445;0,91445;96761;0,96761
53;90702;0,90702;96464;0,96464
54;89892;0,89892;96136;0,96136
55;89010;0,8901;95774;0,95774
56;88053;0,88053;95375;0,95375
57;87017;0,87017;94936;0,94936
58;85898;0,85898;94453;0,94453
59;84694;0,84694;93925;0,93925
60;83401;0,83401;93348;0,93348
61;82019;0,82019;92719;0,92719
62;80547;0,80547;92036;0,92036
63;78986;0,78986;91296;0,91296
64;77336;0,77336;90496;0,90496
65;75600;0,756;89632;0,89632
66;73781;0,73781;88704;0,88704
67;71883;0,71883;87707;0,87707
68;69909;0,69909;86640;0,8664
69;67862;0,67862;85501;0,85501
70;65742;0,65742;84287;0,84287
71;63551;0,63551;82993;0,82993
72;61288;0,61288;81614;0,81614
73;58951;0,58951;80140;0,8014
74;56536;0,56536;78561;0,78561
75;54042;0,54042;76859;0,76859
76;51467;0,51467;75016;0,75016
77;48810;0,4881;73012;0,73012
78;46076;0,46076;70822;0,70822
79;43270;0,4327;68426;0,68426
80;40402;0,40402;65807;0,65807
81;37488;0,37488;62950;0,6295
82;34546;0,34546;59853;0,59853
83;31599;0,31599;56521;0,56521
84;28671;0,28671;52969;0,52969
85;25790;0,2579;49224;0,49224
86;22981;0,22981;45323;0,45323
87;20274;0,20274;41311;0,41311
88;17693;0,17693;37242;0,37242
89;15262;0,15262;33174;0,33174
90;13001;0,13001;29166;0,29166
91;10926;0,10926;25282;0,25282
92;9048;0,09048;21577;0,21577
93;7376;0,07376;18108;0,18108
94;5912;0,05912;14922;0,14922
95;4653;0,04653;12057;0,12057
96;3592;0,03592;9536;0,09536
97;2716;0,02716;7371;0,07371
98;2009;0,02009;5558;0,05558
99;1451;0,01451;4082;0,04082
100;1022;0,01022;2913;0,02913
